Comente,Comente_limpo,Tokens_lematizados,Tokens_lematizados_sem_stopwords,Comente_processado_spacy,texto_final_en
@matheus.alves.b vai ver q ainda é o único q dura mais,matheusalvesb vai ver q ainda é o único q dura mais,"['matheusalvesb', 'ir', 'ver', 'q', 'ainda', 'ser', 'o', 'único', 'q', 'durar', 'mais']","['matheusalvesb', 'ir', 'ver', 'q', 'ainda', 'único', 'q', 'durar']",matheusalvesb ir ver q ainda único q durar,matheusalvesb go see q still unique to last
Uauuu,uauuu,['uauuu'],['uauuu'],uauuu,It Areoped
Isso é muito rick and morty,isso é muito rick and morty,"['isso', 'ser', 'muito', 'rickr', 'and', 'morty']","['rickr', 'and', 'morty']",rickr and morty,rickr and morty
Ricky and Morty total kaksakskqkssk,ricky and morty total kaksakskqkssk,"['ricky', 'and', 'Morty', 'total', 'Kaksakskqkssk']","['ricky', 'and', 'Morty', 'total', 'Kaksakskqkssk']",ricky and Morty total Kaksakskqkssk,ricky and Morty total Kaksakskqkssk
Tonc,tonc,['tonc'],['tonc'],tonc,tonc
C.,c,['c'],['c'],c,c
.,,[],[],,
Pensei que era o Pablo Marsal,pensei que era o pablo marsal,"['pensar', 'que', 'ser', 'o', 'pablo', 'marsal']","['pensar', 'pablo', 'marsal']",pensar pablo marsal,Think Pablo Marsal
"Olá! Tudo bem? 
Como vocês resolvem o problema do cliente que já se estende há mais de 1 mês? O chat do app é impossível! Estou muito frustrada com minha situação. Aguardo vocês.",olá tudo bem como vocês resolvem o problema do cliente que já se estende há mais de mês o chat do app é impossível estou muito frustrada com minha situação aguardo vocês,"['olá', 'tudo', 'bem', 'como', 'você', 'resolver', 'o', 'problema', 'de o', 'cliente', 'que', 'já', 'se', 'estender', 'haver', 'mais', 'de', 'mês', 'o', 'chat', 'de o', 'app', 'ser', 'impossível', 'estar', 'muito', 'frustrado', 'com', 'meu', 'situação', 'aguardo', 'você']","['olá', 'tudo', 'bem', 'resolver', 'problema', 'de o', 'cliente', 'estender', 'mês', 'chat', 'de o', 'app', 'impossível', 'frustrado', 'situação', 'aguardo']",olá tudo bem resolver problema de o cliente estender mês chat de o app impossível frustrado situação aguardo,"Hello, okay solve problem for the customer extend month chat of the impossible app frustrated situation I await"
"Eita, o cara de Internet O Filme",eita o cara de internet o filme,"['eitar', 'o', 'cara', 'de', 'Internet', 'o', 'filme']","['eitar', 'cara', 'Internet', 'filme']",eitar cara Internet filme,EITAR FACE FILM
Infelizmente nem sobra pra usar na rua kkk💔,infelizmente nem sobra pra usar na rua kkk,"['infelizmente', 'nem', 'sobra', 'pra', 'usar', 'em o', 'rua', 'kkk']","['infelizmente', 'sobra', 'pra', 'usar', 'em o', 'rua', 'kkk']",infelizmente sobra pra usar em o rua kkk,Unfortunately there is left to use on Rua kkk
O repórter some igual as contas,o repórter some igual as contas,"['o', 'repórter', 'some', 'igual', 'o', 'conta']","['repórter', 'some', 'igual', 'conta']",repórter some igual conta,Reporter Some Equal Account
@rafael_ghidelli KKKKKKK PAPORETO,rafaelghidelli kkkkkkk paporeto,"['rafaelghidelli', 'kkkkkkk', 'paporeto']","['rafaelghidelli', 'kkkkkkk', 'paporeto']",rafaelghidelli kkkkkkk paporeto,Rafaelghidelli Kkkkkkk Papapore
Da pra usar isso no cartão de crédito/débito também? Ou só Pix/transferência bancária?,da pra usar isso no cartão de créditodébito também ou só pixtransferência bancária,"['de o', 'pra', 'usar', 'isso', 'em o', 'cartão', 'de', 'créditodébito', 'também', 'ou', 'só', 'pixtransferência', 'bancário']","['de o', 'pra', 'usar', 'em o', 'cartão', 'créditodébito', 'pixtransferência', 'bancário']",de o pra usar em o cartão créditodébito pixtransferência bancário,of o To use in the Creditodity Card Bank PixTransference
"Festa,folia diversão....e depois outra pandemia... é pra lascar msm",festafolia diversãoe depois outra pandemia é pra lascar msm,"['Festafolia', 'diversãoe', 'depois', 'outro', 'pandemia', 'ser', 'pra', 'lascar', 'msm']","['Festafolia', 'diversãoe', 'outro', 'pandemia', 'pra', 'lascar', 'msm']",Festafolia diversãoe outro pandemia pra lascar msm,FESTAFOLIA Fun another pandemic to chip msm
Que susto! Achei que ele ia falar música e diversão do Nicolas Netto,que susto achei que ele ia falar música e diversão do nicolas netto,"['que', 'susto', 'achar', 'que', 'ele', 'ir', 'falar', 'música', 'e', 'diversão', 'de o', 'nicolas', 'netto']","['susto', 'achar', 'ir', 'falar', 'música', 'diversão', 'de o', 'nicolas', 'netto']",susto achar ir falar música diversão de o nicolas netto,fright finding going to speak music fun of Nicolas Netto
Mim.,mim,['eu'],[],,
Propagando top. 🤣👏,propagando top,"['propagar', 'top']","['propagar', 'top']",propagar top,propagar top
Tô devendo 16 mil pra vocês e espero que a dívida aumente (eu não pretendo pagar) 🤭,tô devendo mil pra vocês e espero que a dívida aumente eu não pretendo pagar,"['tô', 'dever', 'mil', 'pra', 'você', 'e', 'esperar', 'que', 'o', 'dívida', 'aumente', 'eu', 'não', 'pretender', 'pagar']","['tô', 'dever', 'mil', 'pra', 'esperar', 'dívida', 'aumente', 'pretender', 'pagar']",tô dever mil pra esperar dívida aumente pretender pagar,I'm owed a thousand to wait for debt to increase to pay
Papo de liso quando homen sai ele não sabe quanto gasta.kkkk,papo de liso quando homen sai ele não sabe quanto gastakkkk,"['papo', 'de', 'liso', 'quando', 'homen', 'sair', 'ele', 'não', 'saber', 'quanto', 'gastakkkk']","['papo', 'liso', 'homen', 'sair', 'saber', 'quanto', 'gastakkkk']",papo liso homen sair saber quanto gastakkkk,smooth chat man leave know how much gastakkkk
Equipe de marketing deu aulas nessa 👏👏👏,equipe de marketing deu aulas nessa,"['equipe', 'de', 'marketing', 'dar', 'aula', 'em esse']","['equipe', 'marketing', 'dar', 'aula', 'em esse']",equipe marketing dar aula em esse,Marketing Team Teach in this
"Enquanto isso, tome fumo na retaguarda brasileira kkk",enquanto isso tome fumo na retaguarda brasileira kkk,"['enquanto', 'isso', 'tome', 'fumo', 'em o', 'retaguarda', 'brasileiro', 'kkk']","['enquanto', 'tome', 'fumo', 'em o', 'retaguarda', 'brasileiro', 'kkk']",enquanto tome fumo em o retaguarda brasileiro kkk,While taking smoke in the Brazilian rear kkk
